Equipment Type,PM Type,Checklist Item
ALL,500H,Check entire boom for damage or cracks
ALL,500H,Check entire frame for damage or cracks
ALL,500H,"Check ROPS for damage, cracks and mounting"
ALL,500H,Ensure ROPS tag is securely mounted and legible
ALL,500H,Check fire extinguisher mounting and condition
ALL,500H,Inspect all grease lines mounting and condition
ALL,500H,Inspect all grease fittings conditon and functionality
ALL,500H,Grease entire unit
ALL,500H,FIRE SUPPRESSION
ALL,500H,Note general appearance and mount of dry chemical tank
ALL,500H,"Check nameplates for readabilty, mounting and corrosion"
ALL,500H,"Remove fill cap, examine gasket, threads and relief vent"
ALL,500H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,500H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,500H,Ensure tank is securely mounted and damage free
ALL,500H,Disengage burst disc union and examing burst disc
ALL,500H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,500H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,500H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,500H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,500H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,500H,Remove expellant gas cartridge check for damage or corrosion
ALL,500H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,500H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,500H,Return cartridge to receiver and hand tighten
ALL,500H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,1000H,Ensure all wheel chocks are present
ALL,1000H,Perform park brake test as per attached sheet
ALL,1000H,Perform service brake test as per attached sheet
ALL,1000H,Where applicable test ABA (auto brake application)
ALL,1000H,Check mounting and operation of all lights
ALL,1000H,Check operation and condition of all gauges
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Check unit over for visible leaks
ALL,1000H,Check condition of bucket and lip
ALL,1000H,Wash machine thoroughly including all coolers
ALL,1000H,"Check for unusual noises, vibrations or behaviors"
ALL,1000H,ENGINE SECTION
ALL,1000H,Check and retorque engine mounts
ALL,1000H,Inspect all intake and exhaust piping and manifolds
ALL,1000H,"Inspect fan, fan drive and belts adjust if required"
ALL,1000H,Lubricate fan hub assy (do not overgrease)
ALL,1000H,"Check alternator mounts, belts and charging"
ALL,1000H,Check starter mounting and operation
ALL,1000H,"Check for oil, coolant or fuel leaks"
ALL,1000H,Check coolant level and strength
ALL,1000H,Clean centrifugal oil cleaner
ALL,1000H,Check all engine harnesses for condition and mounting
ALL,1000H,"Check purifiers, mounting and back pressure"
ALL,1000H,Change engine oil and filters
ALL,1000H,Change all fuel filters
ALL,1000H,Change inner and outer air elements if required
ALL,1000H,"Start engine check for leaks,oil pressure and operation"
ALL,1000H,TRANSMISSION AND CONVERTOR
ALL,1000H,Change transmission oil
ALL,1000H,Change transmission filter
ALL,1000H,Check shifting and neutral start operation
ALL,1000H,Check convertor out pressure _______PSI
ALL,1000H,Check transmission clutch pressure _______PSI
ALL,1000H,Check convertor mounting bolts
ALL,1000H,Inspect and lubricate high speed driveline
ALL,1000H,Check input and output bearings
ALL,1000H,Check closely for leaks
ALL,1000H,Check condition and mounting of all hoses
ALL,1000H,Check transmission mounted park brake linkage and adjust
ALL,1000H,Front Axle
ALL,1000H,Change axle and planetary oils
ALL,1000H,Check entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle tie bolts condition and tightness
ALL,1000H,Check condition and mounting of park brake calipers
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under front half of machine
ALL,1000H,Rear Axle
ALL,1000H,Change axle and planetary oils
ALL,1000H,Check over entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle mounting bolts 
ALL,1000H,Inspect and lubricate oscillating axle assembly
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under rear half of machine
ALL,1000H,BRAKES SYSTEM
ALL,1000H,"Check condition, mounting leaks on all brake cooling lines"
ALL,1000H,Change brake cooling oil
ALL,1000H,Change all brake cooling filters
ALL,1000H,Check for damaged or worn brake lines
ALL,1000H,Check proper operation of all brake valves
ALL,1000H,Ensure all brake pressures are correct
ALL,1000H,Check entire brake system for leaks
ALL,1000H,"Check condition and mounting of calipers, pads and rotors"
ALL,1000H,Check all brake accumulators pre-charge pressure
ALL,1000H,HYDRAULICS SYSTEM
ALL,1000H,Change hydraulic oil
ALL,1000H,Change all hydraulic filters
ALL,1000H,Check over entire unit for hydraulic leaks
ALL,1000H,Check and record main hydraulic pressure
ALL,1000H,"Check all hoses for mounting, routing and condition"
ALL,1000H,Check mounting of all pumps and valves
ALL,1000H,Check all hydraulic funtions for proper operation
ALL,1000H,STEERING SYSTEM
ALL,1000H,Check and record steering pressure
ALL,1000H,Check steering operation and speed
ALL,1000H,Check operation of emergency steering
ALL,1000H,Check operation of dump valve
ALL,1000H,Check steering accumulator pre-charge
ALL,1000H,Check condition of all steering linkage
ALL,1000H,Check adjustment and condition of steering stops
ALL,1000H,Check condition of steering pins and bushings
ALL,1000H,Check condition of steering cylinders
ALL,1000H,ELECTRICAL SYSTEM 
ALL,1000H,Check clean & tighten all battery connections and mounts
ALL,1000H,Check electrolyte level and specific gravity
ALL,1000H,Check all gauges and switches condition and operation
ALL,1000H,Check all wiring and harnessess condition and mounting
ALL,1000H,Check all lights for operation and condition
ALL,1000H,Check function of FSS engine shutdown
ALL,1000H,FRAME & ATTACHMENTS
ALL,1000H,Check and adjust centre pins as required
ALL,1000H,"Check steer, dump and hoist cyl. pins and bushings"
ALL,1000H,Check bucket pins and bushings for condition
ALL,1000H,Check bucket for wear or cracks
ALL,1000H,Check all boom pins and bushings for condition
ALL,1000H,Check entire boom for damage or cracks
ALL,1000H,Check entire frame for damage or cracks
ALL,1000H,"Check ROPS for damage, cracks and mounting"
ALL,1000H,Ensure ROPS tag is securely mounted and legible
ALL,1000H,Check fire extinguisher mounting and condition
ALL,1000H,Inspect all grease lines mounting and condition
ALL,1000H,Inspect all grease fittings conditon and functionality
ALL,1000H,Grease entire unit
ALL,1000H,FIRE SUPPRESSION
ALL,1000H,Note general appearance and mount of dry chemical tank
ALL,1000H,"Check nameplates for readabilty, mounting and corrosion"
ALL,1000H,"Remove fill cap, examine gasket, threads and relief vent"
ALL,1000H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,1000H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,1000H,Ensure tank is securely mounted and damage free
ALL,1000H,Disengage burst disc union and examing burst disc
ALL,1000H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,1000H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,1000H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,1000H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,1000H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,1000H,Remove expellant gas cartridge check for damage or corrosion
ALL,1000H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,1000H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,1000H,Return cartridge to receiver and hand tighten
ALL,1000H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,250H,Ensure all wheel chocks are present
ALL,250H,Perform Park brake test as per attached sheet
ALL,250H,Perform Service brake test as per attach. Sheet
ALL,250H,Where applicable test ABA (auto brake application)
ALL,250H,Check mounting and operation of all lights
ALL,250H,"Check operation, condition of all gauges and warning lights"
ALL,250H,Check seat and seat belts for condition and mounting
ALL,250H,Check unit over for visible leaks
ALL,250H,Wash machine thoroughly including rad and coolers
ALL,250H,"Check for unusual noises, vibrations or behaviors"
ALL,250H,ENGINE SECTION
ALL,250H,Check and retorque engine mounts
ALL,250H,Inspect all intake and exhaust piping and manifolds
ALL,250H,"Inspect fan, fan drive and belts adjust if required"
ALL,250H,"Check alternator mounts, belts and charging"
ALL,250H,Check starter mounting and operation
ALL,250H,"Check for oil, coolant or fuel leaks"
ALL,250H,Clean centrifugal oil cleaner
ALL,250H,Check all engine harnesses for condition and mounting
ALL,250H,Check for active and inactive fault codes
ALL,250H,"Check purifiers, mounting and back pressure"
ALL,250H,Change engine oil and filters
ALL,250H,Change all fuel filters
ALL,250H,Change inner and outer air elements if required
ALL,250H,"Start engine check for leaks, oil pressure and operation"
ALL,250H,TRANSMISSION AND CONVERTOR
ALL,250H,Check and adjust oil level (change if dirty or burnt)
ALL,250H,Change transmission filter
ALL,250H,Check shifting and neutral start operation
ALL,250H,Check convertor out pressure ________ PSI
ALL,250H,Check transmission clutch pressure _______ PSI
ALL,250H,Check convertor mounting bolts
ALL,250H,Check and tighten all transmission mounts
ALL,250H,Inspect and lubricate high speed driveline
ALL,250H,Check input and output bearings
ALL,250H,Check closely for leaks
ALL,250H,Check condition and mounting of all hoses
ALL,250H,"Check retarder mounting, plumbing and operation"
ALL,250H,Front Axle
ALL,250H,Check axle and planetary oil levels and conditons
ALL,250H,Check entire axle for leaks
ALL,250H,Clean axle breather
ALL,250H,Check axle tie bolts condition and tightness
ALL,250H,Retorque wheel nuts
ALL,250H,Check and lubricate oscillating axle assembly
ALL,250H,Check condition of tires and rims
ALL,250H,Check all hoses and wiring under front half of machine
ALL,250H,Rear Axle
ALL,250H,Check rear axle and planetary oil levels and condition
ALL,250H,Check over entire axle for leaks
ALL,250H,Clean axle breather
ALL,250H,Check axle mounting bolts 
ALL,250H,Inspect and lubricate oscillating axle assembly
ALL,250H,Retorque wheel nuts
ALL,250H,Check condition of tires and rims
ALL,250H,Check all hoses and wiring under rear half of machine
ALL,250H,BRAKES SYSTEM
ALL,250H,"Check condition, mounting leaks on all brake cooling lines"
ALL,250H,Check brake cooling oil level (change if burnt or dirty)
ALL,250H,Check for damaged or worn brake lines
ALL,250H,Check proper operation of all brake valves
ALL,250H,Ensure all brake pressures are correct
ALL,250H,Check entire brake system for leaks
ALL,250H,Check condition and clearance of park brake pucks
ALL,250H,"Check condition and mounting of calipers, pads and rotors"
ALL,250H,Check all brake accumulators pre-charge pressure
ALL,250H,HYDRAULICS SYSTEM
ALL,250H,Check hydraulic oil level and condition
ALL,250H,Change hydraulic filters
ALL,250H,Check over entire unit for hydraulic leaks
ALL,250H,Check and record main hydraulic pressure
ALL,250H,"Check all hoses for mounting, routing and condition"
ALL,250H,Check mounting of all pumps and valves
ALL,250H,Check all hydraulic functions for proper operation
ALL,250H,STEERING SYSTEM
ALL,250H,Check and record steering pressure
ALL,250H,Check steering operation and speed
ALL,250H,Check operation of emergency steering
ALL,250H,Check operation of dump valve
ALL,250H,Check steering accumulator pre- charge
ALL,250H,Check condition of all steering linkage
ALL,250H,Check adjustment and condition of steering stops
